country_code,year0,migLower,migMedian,migUpper,popLower,popMedian,popUpper
344,2025,-245741.555686197,120243.599807096,480861.556330761,7368861.30385199,7739135.42944022,8098128.84157583
344,2030,-355097.070512989,109100.54652396,569177.325902028,7151487.34832168,7922717.0000799,8683461.86057316
344,2035,-364984.580966404,102769.420549675,592071.659976241,6890195.04079023,8006676.52208561,9167404.02627429
344,2040,-369493.823622471,92137.4131300083,596690.559599635,6500305.6455258,8009989.29383674,9534716.8629642
344,2045,-368245.367582633,100788.947367538,604091.80260098,6059790.87594546,7991345.00216263,10007630.7549097
446,2020,25000,25000,25000,649342,649342,649342
446,2025,-90926.4846742599,13434.2244051856,123633.792067446,578119.412494102,681501.437819657,791834.272770329
446,2030,-94706.3760080864,10228.8309904276,146996.884812765,527018.701772926,700342.484540764,919826.196721452
446,2035,-87783.6763117639,6697.72985665522,161182.580287164,482818.797072028,701315.076386503,1046843.78423976
446,2040,-91775.0019914289,13810.4932601517,175945.287851811,446445.58092702,706571.752807458,1203510.01885532
446,2045,-87496.5602172185,7960.05514365491,188813.724635202,406405.51234779,707396.824352899,1376890.45994642
158,2020,150004,150004,150004,23816775,23816775,23816775
158,2025,-366813.499964459,97536.2921694502,520689.082032233,23426287.4143815,23922240.208687,24374079.4983553
158,2030,-426905.216999316,72233.9572233404,585976.276229987,22942833.3304923,23882369.7672555,24810883.6993207
158,2035,-476909.951643171,60648.7341379057,598008.325206119,22367470.7789586,23698585.1834936,25079958.0062227
158,2040,-469614.165878088,36924.6353155443,567132.150316499,21502253.1764252,23278117.0088406,25120257.749774
158,2045,-424536.661228922,53453.3122451322,591345.562250503,20448185.8492349,22638601.9782964,25058435.3639976
170,2020,1023981,1023981,1023981,50882884,50882884,50882884
170,2025,67900.4742861645,891388.498499326,1704692.72943474,52818529.1865816,53824618.835442,54776181.370733
170,2030,-309537.416970506,774587.181297231,1933634.18880911,54075314.6705828,56339897.187023,58711549.3645633
170,2035,-618232.73983503,672024.526129431,2138471.88017965,54595733.6929455,58448476.6902226,62378042.4039243
170,2040,-752348.546132139,586025.337572836,2161151.11925297,54581675.6967049,60019037.5372923,65740278.1637512
170,2045,-844321.32285168,519192.859166475,2275441.48340954,53843119.2205209,61197677.3205991,68992688.8811252
174,2020,-10000,-10000,-10000,869595,869595,869595
174,2025,-38280.0044766392,-9913.58583273174,20735.4677272602,936795.799246679,965724.825981933,999982.842806754
174,2030,-45705.3566871228,-10781.8898889643,24160.898834151,1000780.56718133,1064081.4727283,1130963.29135992
174,2035,-51333.0762806378,-12602.9843513293,28081.8341571673,1061205.5892305,1162480.61259485,1267541.23447854
174,2040,-59006.5132909739,-13397.280287265,31269.9189593992,1114750.24893316,1260341.44958017,1412476.41031826
174,2045,-60757.7060751278,-15425.3923777337,35571.0475452561,1171833.02555412,1357678.63029498,1563788.45958481
178,2020,-20000,-20000,-20000,5518092,5518092,5518092
178,2025,-115648.380685466,-2232.84010110445,98032.3997544924,6108953.01675598,6236955.77865053,6383955.81750447
178,2030,-140113.993933787,7625.84231051119,143868.511793882,6719024.88116132,7038916.38722054,7357983.03685175
178,2035,-172871.961808392,8275.87935243929,170375.49105996,7370935.23290199,7904229.24612514,8448604.49142514
178,2040,-183532.654086966,14623.0791357363,195744.202598118,8002310.38428744,8843148.08882207,9635279.49816079
178,2045,-184153.657646496,21690.8860366375,230144.660188475,8697829.46091008,9822143.47930348,10969470.8954209
184,2020,-685,-685,-685,17564,17564,17564
184,2025,-2777.89245019933,-502.736247157806,1563.67001348831,15238.4508234751,17527.6207182455,19636.0802124789
184,2030,-2622.42510755637,-355.501357225054,2395.02798674905,13278.9406690113,17384.0198808402,21844.7989564558
184,2035,-2467.12233656475,-256.948310128268,2953.73060505802,11498.8615029448,17293.2504094053,24676.1525639083
184,2040,-2280.97726771164,-251.503930415809,3170.35779018205,9842.75922387418,16980.5444269577,27874.8167782761
184,2045,-2255.36487723911,-219.977221463637,3932.95606323698,8453.18639532454,16678.9939664005,31814.0383901198
188,2020,21000,21000,21000,5094114,5094114,5094114
188,2025,-29515.5598296415,24144.2599235369,85543.5067448742,5225941.11767156,5303126.85478776,5388623.62479582
188,2030,-46183.6391293297,28063.0678950394,107421.005871013,5313128.31892245,5473715.21099624,5658584.41123832
188,2035,-50824.0646892039,29197.9241334328,119604.35070956,5342763.94726526,5613973.17390122,5920222.94169646
188,2040,-58196.8586482147,33034.3771012484,126849.59786006,5327210.12527879,5726037.15062022,6155809.72484363
188,2045,-67314.440796839,30934.0903701016,143673.151393444,5280991.36937783,5795933.41571877,6372581.58216703
384,2020,-39999,-39999,-39999,26378275,26378275,26378275
384,2025,-721180.046227492,-12792.8153301791,709828.117659944,29069651.0234651,29856655.5975586,30704078.0391392
384,2030,-1122074.82335358,14540.7859151988,1082675.17313819,31655990.5615034,33644479.5879705,35813415.2516548
384,2035,-1339527.2983197,12692.5465852165,1489951.57464635,34118204.3129246,37693331.1807336,41634798.8841352
384,2040,-1627579.55351637,48776.3154284445,1775901.45151769,36503018.2454954,42054419.1714121,48191167.1799635
384,2045,-1861942.5505689,41229.0428528246,2183696.66448187,38639582.9749664,46593415.864066,55492150.5034837
191,2020,-40004,-40004,-40004,4105268,4105268,4105268
191,2025,-122962.130866824,-31310.5956880576,68424.3451020306,3868693.63721478,3971769.5647233,4078922.02119884
191,2030,-140010.939522548,-29009.0986492893,88182.8695320938,3620888.74073726,3830281.54904194,4033995.90693474
191,2035,-136575.155083597,-29088.5156762886,90409.6609164609,3389841.76219697,3678854.30884192,3986940.94233962
191,2040,-127706.13826161,-21210.9183388627,90448.2073358346,3153359.01778095,3534483.44972676,3944035.51889099
191,2045,-124708.936495913,-17712.0409861338,91865.3721276122,2913916.73059608,3372321.94624815,3883108.86045043
192,2020,-72000,-72000,-72000,11326616,11326616,11326616
192,2025,-297286.965067482,-122884.886603658,53763.9341476306,11002096.971152,11196721.7852052,11389325.3891694
192,2030,-327770.96609571,-133975.148462401,58107.6739880131,10604907.1926962,10964641.298091,11363433.0239586
192,2035,-312277.736506879,-138326.456954956,55783.095707224,10115615.0291069,10673147.9785599,11284380.8543856
192,2040,-309254.793228707,-135960.894699051,64407.5309633582,9611112.98706337,10303190.069713,11152789.6052926
192,2045,-326399.908124113,-127915.212791754,73715.4863467688,9038273.78594474,9888014.38936145,10970873.2074018
531,2020,2573,2573,2573,164100,164100,164100
531,2025,-13371.281352879,1158.91349589215,17330.1576984347,151099.194566618,165907.961158764,182123.351050367
531,2030,-17115.553846822,108.549442586906,20148.6415675358,137710.552721851,165754.115634953,200920.20675958
531,2035,-16043.0705923902,310.57927730688,21731.0287936208,124751.519986433,164584.997900566,220274.620229082
531,2040,-15522.1669214144,-627.662288938753,24077.4724587901,111459.047217993,162389.467181247,238333.269233108
531,2045,-17365.6816244027,-524.989865798847,24596.5760269151,96935.5730042532,160478.549190555,259052.202847805
196,2020,25000,25000,25000,1207361,1207361,1207361
196,2025,-41933.1382457884,17373.8478650685,83690.2180753882,1178130.47291328,1237212.40439484,1303918.54628877
196,2030,-58781.4444479114,13910.8937408871,99870.6225691747,1136051.01725946,1253243.28295073,1393597.20364736
196,2035,-71569.2038572655,7239.99514253385,95833.2582810888,1079213.05374356,1262354.05512058,1472154.1649931
196,2040,-70595.3641987292,7959.7789615896,109779.382970135,1014139.60929386,1259803.32213786,1569431.51550635
196,2045,-75585.6359821308,11042.9308591604,123889.290166276,936889.599356225,1258809.96802972,1664134.20289638
203,2020,110057,110057,110057,10708982,10708982,10708982
203,2025,-113328.63326386,55152.1729013074,241425.133266093,10500892.8551438,10694969.1122799,10900226.2478033
203,2030,-159149.490615604,35261.2860091672,253147.571136718,10224693.9589764,10594177.0640423,10997961.3037295
203,2035,-181870.978854099,27875.2281641936,227001.384304866,9897144.4230937,10421495.8625523,11013474.0804934
203,2040,-193667.077876572,24329.4136558462,236847.745090693,9536818.88969342,10251088.8852554,11089778.3436087
203,2045,-167862.362485334,24666.2953863776,250958.846589062,9205300.81387073,10095720.8588139,11169474.535683
408,2020,-27013,-27013,-27013,25778815,25778815,25778815
408,2025,-165842.276620325,-2237.45625717412,150738.937337325,25986333.4279891,26300915.9163671,26598577.9612718
408,2030,-166049.136980902,-215.650520650143,162064.593263202,26045265.2481109,26699013.1224166,27291129.8024958
408,2035,-174633.760096731,-5786.19119458869,168019.171245368,25831430.7566086,26905934.2879985,27796469.0674475
408,2040,-177960.368667105,-132.667564768778,157045.755996572,25443057.5048258,26922386.3151794,28122021.0374917
408,2045,-170710.017227418,-1173.54304203758,171396.41065915,24968936.3810344,26806698.1961479,28286803.2556938
180,2020,119302,119302,119302,89561404,89561404,89561404
180,2025,-2390531.35326455,115242.068853675,2608813.33574175,101405874.28634,104114732.025248,106806859.874334
180,2030,-2980866.54031957,100141.537672433,3164065.14497314,113410062.85373,120060074.824776,126171049.674325
180,2035,-3080139.13194944,135791.462366489,3756592.05346166,125044759.580154,137222690.487192,148204031.836884
180,2040,-3792002.37773633,226251.945519211,4191501.36892775,135177970.462468,155210541.633532,172601148.909649
180,2045,-3662123.77407336,160796.822257269,4471281.6610145,144405716.956148,174731350.632869,199329087.341386
208,2020,75998,75998,75998,5792203,5792203,5792203
208,2025,13964.7265608355,70464.1767627253,128872.25818801,5827882.13085369,5892218.87870396,5959391.57248731
208,2030,-6311.52476665297,65953.4275828361,145060.347083997,5828006.38923762,5980536.90861911,6139485.73519259
208,2035,-22166.7991768245,60731.6736307133,151574.847931431,5798963.07474157,6043687.37149264,6300481.06529463
208,2040,-32930.4676143679,60490.9572556577,157542.424532016,5726979.03504282,6077759.84350732,6456911.63048504
208,2045,-38830.8751259451,54248.1825253274,167622.833237244,5630767.1749118,6093341.02146351,6601228.57272077
262,2020,4501,4501,4501,988002,988002,988002
262,2025,-197853.602228501,7951.05907345959,225340.706703095,855867.656241382,1057206.02734345,1274491.74774893
262,2030,-197116.3639274,10945.2683190392,306641.201342025,751556.201562595,1113384.36624253,1607845.5556397
262,2035,-198025.271009667,14173.9974731265,357274.666121198,676407.583226091,1176122.46616408,1987315.36130896
262,2040,-205152.581108004,10253.8640892376,448038.447391469,600488.820900296,1210194.55879137,2422022.29873443
262,2045,-225308.550537013,11504.5246153151,447986.582846045,530416.789387461,1248386.83913992,2862391.72436189
212,2020,-1003,-1003,-1003,71991,71991,71991
212,2025,-4733.73359821296,-943.693052166737,2691.00066056587,68958.2570930877,72636.1255035589,76518.6132307131
212,2030,-5789.91920028639,-862.619031604434,3906.3306976967,65064.0165216157,72751.8107660262,81260.0389198252
212,2035,-5490.78177872976,-776.851133490951,5217.36208759787,60580.9864716483,72078.1468796466,86462.5970567409
212,2040,-5419.83703380273,-720.347020620962,5913.93764337378,55619.9616238799,70918.928786997,91167.1593448548
212,2045,-5207.77357824751,-805.753760811551,6960.89686778982,50018.1345389833,69116.4444034108,96400.710007165
214,2020,-150000,-150000,-150000,10847904,10847904,10847904
214,2025,-245658.297605397,-159015.164235053,-84070.8471523481,11193217.0917142,11345393.1239776,11496864.6222004
214,2030,-285660.374999227,-167961.58481721,-73696.5747125591,11420089.4112713,11754292.921044,12080433.4231117
214,2035,-300252.576839047,-169619.850585967,-68620.365582898,11517188.1961169,12081616.6998145,12574964.4671995
214,2040,-317698.029809928,-177228.013915098,-58882.2034317594,11510698.7976588,12318469.3227254,13052297.1837978
214,2045,-321748.656128064,-175432.363010509,-41455.5010380698,11439275.3347739,12459651.1573569,13446051.17571
218,2020,182000,182000,182000,17643060,17643060,17643060
218,2025,-73110.1086364924,126952.243896811,323426.668802186,18681748.5836972,18985202.4909479,19274540.1723889
218,2030,-141394.484085342,86215.2541295851,359510.058250289,19608304.5030925,20227821.9740933,20877193.150491
218,2035,-197425.14657824,64077.0603464254,397271.680926708,20354048.2600563,21356554.1228327,22451801.1503787
218,2040,-230315.570700612,35062.4545256119,438300.619987747,20942340.4386409,22369638.5099961,24109466.5972509
218,2045,-276532.981913261,32628.0615011152,487795.566784937,21369522.4340678,23220819.4851286,25627283.9318941
818,2020,-190164,-190164,-190164,102334403,102334403,102334403
818,2025,-1186780.95274015,-280742.92888726,672211.614240966,109957979.543354,111619470.478374,113364333.077396
818,2030,-1557154.09969522,-391172.379131549,1067174.73785187,116815820.895466,120515497.138976,124282466.227474
818,2035,-1780540.16986372,-363434.732876947,1188685.59218835,123294851.339793,129707773.793064,136331659.866061
818,2040,-2189137.46790396,-445793.263621397,1453610.7220638,129842145.482062,139339798.269134,149087781.334628
818,2045,-2323483.59187131,-448377.232429375,1758963.41583373,135750176.506212,148746210.396572,162699932.327333
222,2020,-202694,-202694,-202694,6486201,6486201,6486201
