country_code,year,q05in,q10in,q50in,q90in,q95in,q05out,q10out,q50out,q90out,q95out,q05net,q10net,q50net,q90net,q95net
308,2038,4343.9,5014.5,8053,14659.9,17845.6,2972.95,3696.8,6484.5,11093.5,13247.5,-5237.75,-3732,1729,8282.3,11518.95
312,2038,8768.5,9991.6,15663.5,26870.9,32479.6,3617.7,4917.2,17222,37062.9,43115.55,-26307.7,-21564.3,-584,13796.2,18756.3
316,2038,6537.65,7544.9,15025.5,29257.3,35375.25,4565.15,5873.9,12651,24361.7,28076.85,-14166.25,-10830.9,2269,17225.1,24357.8
320,2038,55369.6,68864.2,124468.5,284714.9,376970.75,89420.15,110259.7,279643.5,697571.7,982680.2,-806482.5,-543803.3,-136051.5,61115.3,134534.4
324,2038,88759.95,105709,191739,404959.8,509039,39027.25,54274.9,181613,659979.9,973167.3,-751787.75,-464981.8,19529.5,243548.1,353218.25
328,2038,26708.75,30313.6,49600.5,93404.4,117430.65,31367.1,39637.3,75033,114901.6,126705.3,-77907.7,-65005.4,-22068,31770.6,55990.1
332,2038,81039.2,93304.2,162329,298142,376055.1,234398.85,277228.1,447376,683703.7,791757.7,-625448.7,-523452.8,-271564,-63856.2,12704.9999999999
340,2038,44941.2,53029.8,96804,198124.6,246424.55,74212.9,92207.9,184251.5,383279.3,495081.6,-393220.85,-276374.6,-80809.5,48913.5,101602.1
344,2038,493440.65,578964.4,1093149,2475431.7,3232263.25,226033.5,288600.2,608198.5,1034370.1,1219716.9,-220455.9,-88213.4,489294,1754574.8,2580661.4
348,2038,205938.6,222888,300358.5,439561.3,478390.65,83827.45,112173.7,258495.5,555913.3,669665.6,-375146.45,-237251.9,46270.5,226889.1,283682.8
352,2038,16067.95,17136.8,22704,32418.3,36520.4,5793.2,8028.2,21590,37097.1,41659.65,-19426.1,-15568.9,1486.5,17222.8,22861.55
356,2038,2780525.4,3098853.1,4428541,6395524.2,7012494.65,2872253.65,3704464.4,7835590.5,16187017.5,21077888.8,-16286277.85,-11652738.6,-3269455,1154211,2003235.45
360,2038,472150,528554.4,803001.5,1243986.1,1454576.95,335669.6,477277.6,1650682.5,4801142.8,5890081.05,-4966748.1,-3960604.3,-802716,365333.3,557173.45
364,2038,397536.05,457826,1011878.5,2438292.8,2990862.1,252787.75,341237.9,984251,2878673.8,4412194.6,-3114768.65,-1807612.1,20011.5,1437890.9,1982864.75
368,2038,275141.15,312905.5,456707,719854.4,844003.5,84633.25,126920.9,589172,2904982.6,4030131.4,-3564237.2,-2448552.8,-110842.5,388312.9,512827.45
372,2038,286509.9,310653,448230.5,706954.8,835805.85,67366.2,89344.4,217768,501149.8,590772.05,-160017.4,-79302.6,226322.5,490750.1,611980.8
376,2038,546306.1,589869.9,780779.5,1090419.6,1204988.4,128237.55,162166.1,369297.5,798696.8,1042670.25,-210559.85,-39280.6,399756,748740,896339.7
380,2038,2240283.45,2444890.7,2980755,3780636.3,4000718.35,385880.8,543468.8,1445210,3754189.2,4564839.75,-1531253.3,-631712.7,1522309.5,2681117.6,2938709.55
384,2038,648875.85,723696.5,1074378.5,1699939.9,1918471.15,360450.6,448580.6,1070313,2440027.7,3139928.85,-2006557.05,-1308472,-7048.5,804121,1022087.6
388,2038,55960.2,65228.4,120691,261656.7,327948.5,78332.45,92881.9,150645.5,242954.5,280758.65,-173649.25,-131821,-28185.5,107416.2,170623.4
392,2038,687873.75,769357.9,1190069,1910417.7,2273200.75,162595.25,210373,479408.5,1186446,1458073.8,-336866.05,-31158.6,660020,1466658.5,1761466.3
398,2038,567820.95,619252.1,962064,1541698,1836861.95,378418.15,476315.2,1030530.5,2049114.1,2322514.2,-1440588.45,-1120784.6,-85350,754168.7,984357.699999999
400,2038,678495.45,755882,1158748.5,1766786.9,1991023.75,195982.9,268513.1,713543.5,1604901.7,1872867.45,-697983.25,-445626.8,420143,1154342.3,1358510.1
404,2038,305166.05,352375.3,688836.5,1366663,1698709.7,116611.95,157757.9,603241.5,1989563.4,2957735.3,-2038689.75,-1290226.2,75440.5,843737.1,1101915.55
408,2038,17992.15,20374.2,32274,59066.9,75096.4,21171.55,30285.7,74351.5,173921.4,221540.2,-188139.3,-140673.2,-39107,10097.6,20689.95
410,2038,494561.05,550771,847875.5,1549514.4,1894044.45,173223.25,248193.7,764737,2326554.3,2900419.65,-2092016.8,-1368474.8,109619.5,897944.5,1200240.75
414,2038,464093.5,518128.7,825430,1488000.2,1769720.65,102645.85,155051.8,463975.5,1038330.5,1243775.95,-469544.05,-292872.9,352693,1084908.8,1359151.4
417,2038,62337.95,72298.4,118911.5,226657.7,276904.45,38568.5,53613.6,170475.5,513359.7,667631.5,-532788.15,-389901.9,-39436.5,99251.6,148113.05
418,2038,56089.15,64764.3,134982.5,408704.4,563906.7,112362.25,142330.5,282841.5,576439.3,712538.75,-571359.95,-421426.1,-122180,148767.7,274959.75
422,2038,438690.95,497464.2,733832.5,1142399.8,1369509.7,139186.75,177870.8,508586,1015031.1,1124067.85,-434018.65,-300827.6,242943.5,729455.6,924107.65
426,2038,12810.2,15609,38907,107682.8,146275.25,15958.15,25108.6,84020,223457.5,270825.35,-228064.05,-178856.8,-38463,39123.6,70124.2499999999
428,2038,61886.25,68369.2,97560.5,151071.1,172848.45,46965.15,57279.1,102133,153858.7,168382.6,-79446.7,-60196.2,-2696,67277.6,91119.6
430,2038,62013.25,74444.6,138535.5,305525.3,395223.1,12230.5,18728.1,99074.5,441825.5,605189.75,-441982.5,-284242.6,35469.5,221861.6,277222.25
434,2038,211022,236957.7,322933.5,474531.7,537715.15,54107.65,76234.4,239177,595740.2,750423.95,-415739.8,-267789,88400.5,302110.3,372336
440,2038,54524.55,59049.6,82256,123726.3,137047.25,71323.85,90438.3,160168,219679.9,239579.6,-159736.55,-138474.1,-73910,4486.4,25267.9
